Counter,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
786714,1997,0029600457,Aaron McKie,POR,"JAN 06, 1997",POR vs. LAL,W,14,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-7.0,0
786638,1997,0029700365,Aaron McKie,PHI,"DEC 22, 1997",PHI vs. DET,L,22,2,6,0.333,0,0,0.0,0,0,0.0,1,2,3,3,2,1,0,4,4,-5.0,0
786637,1997,0029700400,Aaron McKie,PHI,"DEC 27, 1997",PHI @ GSW,W,20,0,4,0.0,0,2,0.0,1,2,0.5,0,0,0,0,4,0,0,1,1,12.0,0
786636,1997,0029700405,Aaron McKie,PHI,"DEC 28, 1997",PHI @ SAC,L,21,1,2,0.5,0,0,0.0,0,0,0.0,0,3,3,0,0,1,0,2,2,7.0,0
786635,1997,0029700421,Aaron McKie,PHI,"DEC 30, 1997",PHI @ POR,L,15,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,1,1,0,2,1,4,-8.0,0
786647,1997,0029700231,Aaron McKie,DET,"DEC 03, 1997",DET vs. PHX,W,16,1,4,0.25,0,1,0.0,2,2,1.0,0,1,1,2,1,0,1,1,4,0.0,0
786646,1997,0029700244,Aaron McKie,DET,"DEC 05, 1997",DET vs. SEA,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4.0,0
786645,1997,0029700258,Aaron McKie,DET,"DEC 07, 1997",DET @ TOR,W,16,0,0,0.0,0,0,0.0,1,1,1.0,1,0,1,2,1,0,1,2,1,9.0,0
786644,1997,0029700271,Aaron McKie,DET,"DEC 09, 1997",DET vs. DEN,W,8,0,3,0.0,0,0,0.0,0,0,0.0,2,1,3,0,1,0,1,0,0,8.0,0
786643,1997,0029700287,Aaron McKie,DET,"DEC 11, 1997",DET vs. NJN,W,7,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,2,1,2,-11.0,0
786648,1997,0029700215,Aaron McKie,DET,"NOV 30, 1997",DET vs. VAN,L,17,1,3,0.333,0,0,0.0,4,4,1.0,2,0,2,0,2,0,0,2,6,1.0,0
786642,1997,0029700319,Aaron McKie,DET,"DEC 16, 1997",DET @ NYK,L,22,5,8,0.625,0,1,0.0,1,2,0.5,3,6,9,3,1,0,0,2,11,12.0,0
786640,1997,0029700341,Aaron McKie,PHI,"DEC 19, 1997",PHI vs. MIA,L,16,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,1,4,12.0,0
786639,1997,0029700354,Aaron McKie,PHI,"DEC 20, 1997",PHI @ DET,L,23,2,7,0.286,0,3,0.0,0,0,0.0,2,2,4,2,0,0,2,3,4,-21.0,0
786641,1997,0029700328,Aaron McKie,DET,"DEC 17, 1997",DET @ NJN,L,14,3,4,0.75,0,0,0.0,2,2,1.0,0,2,2,4,0,0,4,2,8,-5.0,0
1259227,1997,0029700420,Aaron Williams,SEA,"DEC 30, 1997",SEA @ GSW,W,7,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,0,0,1,0,11.0,0
1259274,1997,0029600860,Aaron Williams,VAN,"MAR 06, 1997",VAN vs. NJN,L,11,2,3,0.667,0,0,0.0,0,0,0.0,1,1,2.0,0,1,2,0,0,4,11.0,0
1259275,1997,0029600833,Aaron Williams,VAN,"MAR 02, 1997",VAN vs. UTA,L,25,3,6,0.5,0,0,0.0,0,1,0.0,1,2,3.0,0,1,2,0,3,6,3.0,0
1259276,1997,0029600819,Aaron Williams,VAN,"FEB 28, 1997",VAN vs. PHI,L,14,3,3,1.0,0,0,0.0,1,1,1.0,2,2,4.0,1,0,1,0,4,7,3.0,0
1259277,1997,0029600803,Aaron Williams,VAN,"FEB 26, 1997",VAN vs. LAC,L,32,6,8,0.75,0,0,0.0,2,4,0.5,3,6,9.0,1,2,2,3,2,14,0.0,0
1259278,1997,0029600767,Aaron Williams,VAN,"FEB 21, 1997",VAN @ LAL,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0
1259279,1997,0029600750,Aaron Williams,VAN,"FEB 19, 1997",VAN vs. MIN,L,10,2,2,1.0,0,0,0.0,0,1,0.0,0,1,1.0,0,0,1,0,1,4,9.0,0
1259280,1997,0029600736,Aaron Williams,VAN,"FEB 17, 1997",VAN vs. DAL,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,2.0,0
1259281,1997,0029600699,Aaron Williams,VAN,"FEB 12, 1997",VAN @ SAS,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,-1.0,0
1259282,1997,0029600689,Aaron Williams,VAN,"FEB 11, 1997",VAN @ HOU,L,8,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,3,0,-14.0,0
1259283,1997,0029600681,Aaron Williams,VAN,"FEB 06, 1997",VAN @ MIN,L,18,3,4,0.75,0,0,0.0,0,2,0.0,1,5,6.0,1,0,1,1,5,6,-2.0,0
1259256,1997,0029601129,Aaron Williams,VAN,"APR 12, 1997",VAN @ DAL,W,9,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3.0,0,0,1,0,0,0,7.0,0
1259258,1997,0029601100,Aaron Williams,VAN,"APR 08, 1997",VAN @ SAC,L,12,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,-1.0,0
1259273,1997,0029600880,Aaron Williams,VAN,"MAR 09, 1997",VAN @ TOR,L,29,3,6,0.5,0,0,0.0,1,2,0.5,3,6,9.0,0,0,2,1,4,7,10.0,0
1259272,1997,0029600889,Aaron Williams,VAN,"MAR 11, 1997",VAN @ CHH,L,19,3,5,0.6,0,0,0.0,0,0,0.0,7,6,13.0,1,1,0,1,5,6,-2.0,0
1259270,1997,0029600915,Aaron Williams,VAN,"MAR 14, 1997",VAN @ MIA,L,24,5,6,0.833,0,0,0.0,0,0,0.0,1,2,3.0,0,0,2,0,1,10,-10.0,0
1259285,1997,0029600629,Aaron Williams,VAN,"JAN 30, 1997",VAN @ LAC,L,3,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0.0,0,1,1,0,0,1,-1.0,0
